Period 2 	 [22, 19, 33, 37, 38] 0.70 days. [15] R: 14
Period 2 	 [73, 19, 33, 49, 104] 0.78 days. [1] R: 6
Period 2 	 [24, 33, 2] 1.05 days. [17] R: 4
Period 2 	 [24, 33, 6, 58] 1.17 days. [3] R: 4
Period 2 	 [23, 24, 33, 37, 79] 0.85 days. [1] R: 0
Period 2 	 [77, 24, 33, 2, 56] 1.16 days. [3] R: 4
Period 2 	 [78, 24, 33, 37, 83] 0.87 days. [3] R: 4
Period 2 	 [29, 33, 2, 1] 0.80 days. [15] R: 7
Period 2 	 [29, 33, 37, 35] 0.50 days. [3] R: 7
Period 2 	 [29, 33, 49, 102] 0.69 days. [1] R: 7
Period 2 	 [30, 29, 33, 2, 56] 0.97 days. [1] R: 16
Period 2 	 [30, 29, 33, 6, 67] 0.93 days. [17] R: 16
Period 2 	 [30, 29, 33, 49, 54] 0.85 days. [1] R: 16
Period 2 	 [37, 33, 2, 1] 0.66 days. [1] R: 0
Period 2 	 [33, 6, 7] 0.49 days. [17] R: 74
Period 2 	 [33, 37, 38] 0.24 days. [7] R: 74
Period 2 	 [33, 49, 52] 0.39 days. [20] R: 74
Period 2 	 [33, 49, 54] 0.38 days. [16] R: 74
Period 2 	 [33, 49, 102] 0.39 days. [1] R: 74
Period 2 	 [39, 37, 33, 6, 68] 0.89 days. [4] R: 12
Period 2 	 [39, 37, 33, 12, 70] 0.66 days. [9] R: 12
Period 2 	 [41, 37, 33, 2, 1] 0.83 days. [16] R: 16
Period 2 	 [41, 37, 80] 0.31 days. [1] R: 16
Period 2 	 [41, 37, 85] 0.17 days. [1] R: 16
Period 2 	 [82, 37, 33, 49, 48] 0.82 days. [1] R: 6
Period 2 	 [87, 37, 33, 6, 9] 0.74 days. [6] R: 14
Period 2 	 [87, 37, 36] 0.11 days. [9] R: 14
Period 2 	 [49, 33, 6, 58] 1.00 days. [1] R: 1
Period 2 	 [44, 49, 33, 6, 9] 0.97 days. [4] R: 15
Period 2 	 [44, 49, 33, 24] 1.06 days. [3] R: 15
Period 2 	 [44, 49, 33, 37, 35] 0.70 days. [2] R: 15
Period 2 	 [44, 49, 33, 37, 36] 0.66 days. [5] R: 15
Period 2 	 [44, 49, 33, 37, 83] 0.66 days. [1] R: 15
Period 2 	 [44, 49, 33, 37, 96] 0.68 days. [1] R: 15
Period 2 	 [45, 49, 33, 37, 38] 0.90 days. [2] R: 4
Period 2 	 [45, 49, 100] 0.27 days. [1] R: 4
Period 2 	 [50, 49, 33, 37, 40] 0.67 days. [2] R: 0
Period 2 	 [50, 49, 33, 37, 85] 0.65 days. [1] R: 0
Period 2 	 [51, 49, 33, 6, 64] 0.97 days. [1] R: 0
Period 2 	 [53, 49, 33, 37, 38] 0.73 days. [2] R: 0
Period 2 	 [97, 49, 33, 37, 38] 0.74 days. [8] R: 14
Period 2 	 [97, 49, 100] 0.12 days. [7] R: 14
Period 2 	 [98, 49, 33, 6, 64] 0.99 days. [2] R: 3
Period 2 	 [98, 49, 33, 37, 38] 0.74 days. [2] R: 3
Period 2 	 [99, 49, 33, 37, 38] 0.73 days. [4] R: 4
Period 2 	 [101, 49, 33, 6, 64] 0.97 days. [3] R: 4
Period 3 	 [0, 2] 0.13 days. [4] R: 4
Period 3 	 [1, 2, 33, 12, 71] 0.87 days. [11] R: 40
Period 3 	 [1, 2, 33, 49, 53] 0.99 days. [16] R: 40
Period 3 	 [1, 2, 33, 49, 102] 0.99 days. [7] R: 40
Period 3 	 [56, 2, 33, 49, 53] 0.99 days. [2] R: 1
Period 3 	 [5, 6, 59] 0.28 days. [1] R: 15
Period 3 	 [5, 6, 60] 0.28 days. [19] R: 15
Period 3 	 [7, 6] 0.14 days. [20] R: 29
Period 3 	 [7, 6, 60] 0.15 days. [4] R: 29
Period 3 	 [7, 6, 62] 0.18 days. [2] R: 29
Period 3 	 [7, 6, 33, 12, 15] 0.96 days. [1] R: 29
Period 3 	 [7, 6, 33, 37, 41] 0.82 days. [1] R: 29
Period 3 	 [9, 6] 0.12 days. [20] R: 14
Period 3 	 [10, 6, 33, 29, 26] 0.93 days. [2] R: 0
Period 3 	 [58, 6] 0.27 days. [3] R: 4
Period 3 	 [64, 6, 33, 12, 15] 0.95 days. [1] R: 6
Period 3 	 [64, 6, 33, 12, 71] 0.86 days. [1] R: 6
Period 3 	 [64, 6, 33, 29, 28] 0.96 days. [4] R: 6
Period 3 	 [66, 6, 69] 0.28 days. [1] R: 20
Period 3 	 [66, 6, 33, 37, 41] 0.82 days. [10] R: 20
Period 3 	 [67, 6, 63] 0.17 days. [2] R: 17
Period 3 	 [67, 6, 33, 19, 20] 0.93 days. [1] R: 17
Period 3 	 [67, 6, 33, 37, 41] 0.79 days. [6] R: 17
Period 3 	 [67, 6, 33, 49, 98] 0.97 days. [7] R: 17
Period 3 	 [67, 6, 33, 49, 103] 0.96 days. [1] R: 17
Period 3 	 [67, 6, 33, 49, 105] 0.95 days. [1] R: 17
Period 3 	 [68, 6] 0.15 days. [2] R: 4
Period 3 	 [68, 6, 33, 12, 14] 0.99 days. [1] R: 4
Period 3 	 [68, 6, 33, 49, 103] 0.99 days. [1] R: 4
Period 3 	 [13, 12, 33, 19, 20] 0.80 days. [1] R: 8
Period 3 	 [13, 12, 33, 24, 75] 0.99 days. [1] R: 8
Period 3 	 [70, 12, 33, 49, 50] 0.76 days. [1] R: 9
Period 3 	 [70, 12, 33, 49, 102] 0.76 days. [1] R: 9
Period 3 	 [72, 12, 16] 0.20 days. [2] R: 16
Period 3 	 [72, 12, 33, 24] 0.93 days. [7] R: 16
Period 3 	 [72, 12, 33, 24, 76] 0.94 days. [2] R: 16
Period 3 	 [72, 12, 33, 37, 86] 0.55 days. [1] R: 16
Period 3 	 [17, 19, 33, 49, 51] 0.94 days. [1] R: 9
Period 3 	 [18, 19, 33, 24, 78] 0.99 days. [3] R: 0
Period 3 	 [22, 19, 33, 29] 0.76 days. [2] R: 14
Period 3 	 [22, 19, 33, 49, 53] 0.85 days. [1] R: 14
